Study_Hours,Attendance_Percentage,Internal_Assessment_Score,Previous_Academic_Result,Final_Grade,Study_Efficiency,Internet_Usage_Hours,Gender_Male,Result,Result_Label,Grade_Label
6.7,74.9,41.4,83.8,75,0.67,6.5,1,1,Pass,B
9.6,73.3,41.9,76.4,40,0.74,5.8,0,0,Fail,D
7.6,67.0,40.1,60.8,60,0.77,4.1,1,1,Pass,C
6.4,84.3,49.5,79.8,75,0.85,5.6,1,1,Pass,B
2.4,80.7,33.4,76.4,60,0.93,2.7,1,1,Pass,C
2.4,94.6,39.6,84.3,75,0.69,5.6,1,1,Pass,B
1.5,61.3,49.5,97.7,90,0.52,5.6,1,1,Pass,A
6.7,85.8,40.3,47.0,40,0.86,5.6,1,0,Fail,D
6.4,90.5,46.6,82.6,75,0.93,1.1,0,1,Pass,B
7.4,90.4,40.0,53.8,40,0.62,6.3,0,0,Fail,D
1.2,80.7,31.4,64.9,60,0.79,2.2,1,1,Pass,C
9.7,89.2,40.9,42.0,40,0.71,7.0,1,0,Fail,D
8.5,80.7,41.2,48.2,40,0.87,6.4,1,0,Fail,D
2.9,73.3,30.9,59.2,60,0.98,1.6,1,1,Pass,C
2.6,80.1,31.4,60.5,60,0.67,1.3,0,1,Pass,C
2.7,60.6,39.7,86.9,90,0.98,2.8,0,1,Pass,A
3.7,60.3,38.8,84.5,75,0.58,7.3,0,1,Pass,B
5.7,69.6,47.8,98.3,90,0.93,2.9,0,1,Pass,A
4.9,80.7,39.0,75.9,75,0.93,6.1,1,1,Pass,B
3.6,70.4,30.6,54.5,40,0.82,5.1,0,0,Fail,D
6.5,67.1,37.6,59.7,60,0.73,7.1,0,1,Pass,C
2.3,61.1,28.5,86.9,60,0.7,7.3,0,1,Pass,C
3.6,96.4,34.7,59.6,60,0.58,3.6,0,1,Pass,C
4.3,60.3,38.8,86.9,75,0.75,5.6,1,1,Pass,B
5.1,89.4,40.7,71.8,60,0.55,4.3,1,1,Pass,C
6.7,66.1,41.7,63.1,60,0.93,5.6,1,1,Pass,C
2.8,80.7,29.9,48.9,40,0.69,5.3,0,0,Fail,D
5.6,95.7,49.5,41.3,40,0.56,3.0,0,0,Fail,D
6.3,80.7,37.2,53.1,40,0.72,5.1,0,0,Fail,D
6.7,86.9,25.4,86.9,40,0.85,4.4,1,0,Fail,D
6.5,60.2,49.5,87.1,90,0.57,4.3,0,1,Pass,A
